Column,Meaning
Fossil Free Funds: Coal screen,"The coal screen is comprised of companies assigned to the Morningstar thermal coal or coking coal industries, as well as all companies on the Global Coal Exit List with coal mining operations, and the top 100 coal reserve holders from the Carbon Underground 200. Learn more at https://fossilfreefunds.org/how-it-works"
Fossil Free Funds: Oil / gas screen,"The oil / gas screen is comprised of companies assigned to the following Morningstar Oil and Gas industries: Drilling, Exploration & Production, Integrated, Midstream, Refining & Marketing, and Equipment & Services; upstream and midstream companies from the Global Oil/Gas Exit List; and the top 100 oil / gas reserve holders from the Carbon Underground 200. Learn more at https://fossilfreefunds.org/how-it-works"
Fossil Free Funds: Macroclimate30 coal-fired utility screen,The Macroclimate 30 is an exclusion list of the 30 largest public-company owners of coal-fired power plants in Developed Markets plus China and India. Macroclimate compiled the list of 30 companies using open-source data on coal-fired power plants worldwide. Learn more at https://fossilfreefunds.org/how-it-works
Fossil Free Funds: Fossil-fired utility screen,"The utilities screen is comprised of companies assigned to the following Morningstar Utilities industries: Regulated Electric, Regulated Gas, Independent Power Producers, and Diversified, as well as all companies on the Global Coal Exit List with coal power operations. We remove any companies in these categories that are engaged in 100 percent renewable operations, pure transmission, or otherwise don't burn or transport fossil fuels. Learn more at https://fossilfreefunds.org/how-it-works"
Fossil Free Funds: Fossil fuel finance screen,"The fossil fuel finance screen is comprised of 60 of the largest commercial and investment banks, from the Banking on Climate Chaos report. The report tracks their total fossil fuel financing: lending, and underwriting debt and equity issuances. Learn more at https://fossilfreefunds.org/banks-insurance"
Fossil Free Funds: Fossil fuel finance risk score,"The company fossil fuel finance risk scores come from the Banking on Climate Chaos report fossil fuel financing amounts, normalized from $USD to a 0-10 scale, where 10 is the worst score possible. Learn more at https://fossilfreefunds.org/banks-insurance"
Fossil Free Funds: Fossil fuel insurance screen,"The fossil fuel insurance screen is comprised of 30 of the largest primary insurers and reinsurers, from the Insure Our Future scorecard. The scorecard rates their fossil fuel insurance policies. Learn more at https://fossilfreefunds.org/banks-insurance"
Fossil Free Funds: Fossil fuel insurance risk score,"The company fossil fuel insurance risk scores come from the Insure Our Future scorecard fossil fuel insurance policy ratings, normalized to a 0-10 scale, where 10 is the worst score possible. Learn more at https://fossilfreefunds.org/banks-insurance"
Fossil Free Funds: Clean200 screen,"The Clean200 is a positive screen for companies that are leading the way with solutions for the transition to clean energy. The Clean200 are the largest 200 public companies ranked by green energy revenues. It was first calculated on July 1, 2016 and publicly released on August 15, 2016 by Corporate Knights and As You Sow. Learn more at https://www.asyousow.org/clean200"
Deforestation Free Funds: Producer screen,"The deforestation-risk agricultural commodity producers and traders screen is comprised of companies identified by Friends of the Earth as companies involved in producing and trading palm oil, paper/pulp, rubber, timber, cattle, and soy, and having a past record or a significant risk of contributing to deforestation, land grabbing, and human rights abuses. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Financier screen,The deforestation-risk banks and lenders screen is comprised of companies identified by Friends of the Earth as financial institutions directly and indirectly involved in underwriting and lending to deforestation-risk producers and traders. These are the publicly listed banks drawn from the platform Forests & Finance. Learn more at https://deforestationfreefunds.org/how-it-works
Deforestation Free Funds: Consumer brand screen,"The deforestation-risk major consumer brands screen is comprised of companies identified by Friends of the Earth as consumer goods retailers that source palm oil, paper/pulp, rubber, timber, cattle, and soy from deforestation-risk producers and traders and sell it to consumers worldwide. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Palm oil producer screen,"Assigned to the palm oil producer screen, a sub-group of the deforestation-risk agricultural commodity producers and traders screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Palm oil consumer brand screen,"Assigned to the palm oil consumer brand screen, a sub-group of the deforestation-risk major consumer brands screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Paper / pulp producer screen,"Assigned to the Paper / pulp producer screen, a sub-group of the deforestation-risk agricultural commodity producers and traders screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Paper / pulp consumer brand screen,"Assigned to the paper / pulp consumer brand screen, a sub-group of the deforestation-risk major consumer brands screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Rubber producer screen,"Assigned to the rubber producer screen, a sub-group of the deforestation-risk agricultural commodity producers and traders screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Rubber consumer brand screen,"Assigned to the rubber consumer brand screen, a sub-group of the deforestation-risk major consumer brands screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Timber producer screen,"Assigned to the timber producer screen, a sub-group of the deforestation-risk agricultural commodity producers and traders screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Timber consumer brand screen,"Assigned to the timber consumer brand screen, a sub-group of the deforestation-risk major consumer brands screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Cattle producer screen,"Assigned to the cattle producer screen, a sub-group of the deforestation-risk agricultural commodity producers and traders screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Cattle consumer brand screen,"Assigned to the cattle consumer brand screen, a sub-group of the deforestation-risk major consumer brands screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Soy producer screen,"Assigned to the soy producer screen, a sub-group of the deforestation-risk agricultural commodity producers and traders screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Deforestation Free Funds: Soy consumer brand screen,"Assigned to the soy consumer brand screen, a sub-group of the deforestation-risk major consumer brands screen. Learn more at https://deforestationfreefunds.org/how-it-works"
Gender Equality Funds: Has Equileap gender equality score,"Gender Equality Funds uses the Equileap Gender Scorecard for publicly traded companies to calculate gender equality grades for mutual funds. The Equileap Gender Scorecard covers 3,000+ companies. Learn more at https://genderequalityfunds.org/how-it-works"
Gun Free Funds: Gun manufacturers screen,The gun manufacturers screen is comprised of publicly traded companies identified as manufacturers of firearms or ammunition for the civilian market by As You Sow. Learn more at https://weaponfreefunds.org/how-it-works
Gun Free Funds: Gun retailers screen,The gun retailers screen is comprised of publicly traded companies identified as retailers of firearms or ammunition for the civilian market by As You Sow. Learn more at https://weaponfreefunds.org/how-it-works
Prison Free Funds: Prison industry screen,"Companies with involvement in the prison industrial complex via the prison industry, including incarceration and detention facilities, services in facilities, and supervision and monitoring, as identified by the American Friends Service Committee. Learn more at https://prisonnfreefunds.org/how-it-works"
Prison Free Funds: Border industry screen,"Companies with involvement in the prison industrial complex via the border industry, including incarceration and detention facilities, militarization of  the U.S.-Mexico border, and immigrant monitoring and surveillance, as identified by the American Friends Service Committee. Learn more at https://prisonnfreefunds.org/how-it-works"
Prison Free Funds: Higher risk screen,"Companies earning worse results from the American Friends Service Committee prison industry and border industry scoring rubrics. Companies are assessed on three criteria: the salience of the human rights violation, the company's responsibility for the violation, and the company's responsiveness. Companies that earn more than 10 points for the prison industry or border industry in the AFSC rubric are marked ""higher risk"" on Prison Free Funds. Learn more at https://prisonnfreefunds.org/how-it-works"
Prison Free Funds: Private prison operators screen,Companies that directly operate private prison or immigrant detention facilities. These are the highest risk companies screened for by Prison Free Funds. Learn more at https://prisonnfreefunds.org/how-it-works
Weapons Free Funds: Military contractors screen,"The military contractors screen is comprised of publicly traded companies involved in arms manufacturing and military contracting. The companies were identified using data from over 20 sources, including investment firms and pension funds with ethical investment guidelines; data from industry news outlets; and research from non-profit advocacy groups. Sources include the Stockholm International Peace Research Institute (SIPRI) Arms Industry Database. Learn more at https://weaponfreefunds.org/how-it-works"
Weapons Free Funds: Nuclear weapons screen,"The nuclear weapons screen is comprised of the publicly traded companies involved in nuclear weapon production, manufacturing, or servicing. The companies were identified using data from over 20 sources, including investment firms and pension funds with ethical investment guidelines; data from industry news outlets; and research from non-profit advocacy groups. Sources include the Don't Bank on the Bomb report from Pax and ICAN. Learn more at https://weaponfreefunds.org/how-it-works"
Weapons Free Funds: Controversial weapons screen,"The controversial weapons screen is comprised of the publicly traded companies involved in production, manufacturing, or servicing of cluster munititions, anti-personnel landmines, incendiary weapons, or depleted uranium. The companies were identified using data from over 20 sources, including investment firms and pension funds with ethical investment guidelines; data from industry news outlets; and research from non-profit advocacy groups. Sources include the Worldwide investments in Cluster Munitions: A Shared Responsibility report from PAX. Learn more at https://weaponfreefunds.org/how-it-works"
Tobacco Free Funds: Tobacco producers screen,The tobacco producers screen is comprised of companies assigned to the Morningstar tobacco industry. Learn more at https://tobaccofreefunds.org/how-it-works
Tobacco Free Funds: Tobacco-promoting entertainment companies screen,The tobacco-promoting entertainment companies screen is comprised of companies identified by UCSF's Smoke Free  Movies campaign. Learn more at https://tobaccofreefunds.org/how-it-works
Total Environmental Cost,"""Total Environmental Cost"" is the total monetized environmental impact of the firm's operations during the year."
Biodiversity, Biodiversity captures land use and toxicity. 
Abiotic Resources, Abiotic Resources includes environmental impacts from mining. 
SDG 1.5,"SDG 1.5: By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters."
SDG 2.1,"SDG 2.1: By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round."
SDG 2.2,"SDG 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons."
SDG 2.3,"SDG 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment."
SDG 2.4,"SDG 2.4: By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality."
SDG 3.3,"SDG 3.3: By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases."
SDG 3.4,"SDG 3.4: By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being."
SDG 3.9,"SDG 3.9: By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination."
SDG 6,SDG 6: Ensure availability and sustainable management of water and sanitation for all.
SDG 12.2,"SDG 12.2: By 2030, achieve the sustainable management and efficient use of natural resources."
SDG 14.1,"SDG 14.1: By 2025, prevent and significantly reduce marine pollution of all kinds, in particular from land-based activities, including marine debris and nutrient pollution."
SDG 14.2,"SDG 14.2: By 2020, sustainably manage and protect marine and coastal ecosystems to avoid significant adverse impacts, including by strengthening their resilience, and take action for their restoration in order to achieve healthy and productive oceans."
SDG 14.3,"SDG 14.3: Minimize and address the impacts of ocean acidification, including through enhanced scientific cooperation at all levels."
SDG 14.c,"SDG 14.c: Enhance the conservation and sustainable use of oceans and their resources by implementing international law as reflected in UNCLOS, which provides the legal framework for the conservation and sustainable use of oceans and their resources."
SDG 15.1,"SDG 15.1: By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements."
SDG 15.2,"SDG 15.2: By 2020, promote the implementation of sustainable management of all types of forests, halt deforestation, restore degraded forests and substantially increase afforestation and reforestation globally."
SDG 15.5,"SDG 15.5: Take urgent and significant action to reduce the degradation of natural habitats, halt the loss of biodiversity and, by 2020, protect and prevent the extinction of threatened species."
Environmental Index,provides an index of a firm-year's total environmental impact